const,wind,solar,hydro,demand,demand2
1,0.174944197,0,0.342079636,0.889987869,0.7
1,0.217328199,0,0.342018933,0.84199133,0.693604951
1,0.285292337,0,0.341958229,0.777579617,0.76
1,0.355421072,0,0.341897526,0.729404653,0.872720779
1,0.453804418,0,0.341836823,0.699429119,0.994115427
1,0.552260489,0,0.341776119,0.685511907,1.085940972
1,0.681014413,0,0.341715416,0.680515985,1.12
1,0.844982334,0.012288797,0.341654712,0.648756193,1.085940972
1,1.027226445,0.3279623,0.341594009,0.644473974,0.994115427
1,1.210236174,0.680517629,0.341533306,0.702640783,0.872720779
1,1.402691189,0.985552463,0.341472602,0.782753966,0.76
1,1.596079428,1.176001201,0.341411899,0.840385498,0.693604951
1,1.795626092,1.221374927,0.341351196,0.841277627,0.7
1,1.923318648,1.116257477,0.341290492,0.796849603,0.786779807
1,2.049484363,0.874381938,0.341229789,0.784181372,0.94
1,2.174982889,0.540272593,0.341169086,0.780256004,1.127279221
1,2.300481415,0.19429093,0.341108382,0.7961359,1.305884573
1,2.406517535,0,0.341047679,0.970636328,1.43367427
1,2.508759341,0,0.340986976,1.041828221,1.48
1,2.362849459,0,0.340926272,1.065737277,1.43367427
1,2.193279099,0,0.340865569,1.078583935,1.305884573
1,2.014179415,0,0.340804866,1.051998491,1.127279221
1,1.832858239,0,0.340744162,0.998827604,0.94
1,1.645008072,0,0.340683459,0.894983791,0.786779807
1,1.456591385,0,0.340622756,0.800418119,0.7
1,1.449388283,0,0.340562052,0.746533529,0.693604951
1,1.442185181,0,0.340501349,0.718163828,0.76
1,1.434982079,0,0.340440645,0.711205221,0.872720779
1,1.427778977,0,0.340379942,0.71762855,0.994115427
1,1.420575875,0,0.340319239,0.726906692,1.085940972
1,1.413372773,0,0.340258535,0.807733577,1.12
1,1.351143579,0.011606128,0.340197832,0.932453208,1.085940972
1,1.288914386,0.174231974,0.340137129,1.074480141,0.994115427
1,1.226685192,0.419732928,0.340076425,1.169402665,0.872720779
1,1.167124365,0.638195288,0.340015722,1.200627179,0.76
1,1.108059368,0.777091418,0.339955019,1.218648184,0.693604951
1,1.04899437,0.810475616,0.339894315,1.154236472,0.7
1,1.316184298,0.733309654,0.339833612,1.168153684,0.786779807
1,1.592732928,0.558002406,0.339772909,1.189386354,0.94
1,1.87477695,0.32104844,0.339712205,1.179037658,1.127279221
1,2.144038843,0.083891544,0.339651502,1.174398587,1.305884573
1,2.394964935,0,0.339590799,1.323919404,1.43367427
1,2.603103202,0,0.339530095,1.371915943,1.48
1,2.461732362,0,0.339469392,1.364243634,1.43367427
1,2.307948577,0,0.339408688,1.34318939,1.305884573
1,2.122142792,0,0.339347985,1.276636568,1.127279221
1,1.935885746,0,0.339287282,1.203838843,0.94
1,1.746831607,0,0.339226578,1.055210155,0.786779807
1,1.547200811,0,0.339165875,0.939947092,0.7
1,1.460430893,0,0.339105172,0.869647328,0.693604951
1,1.373660974,0,0.339044468,0.833248466,0.76
1,1.286891056,0,0.338983765,0.819866531,0.872720779
1,1.200976024,0,0.338923062,0.817190144,0.994115427
1,1.118618135,0,0.338862358,0.836638556,1.085940972
1,1.036260247,0,0.338801655,0.897303326,1.12
1,0.898021434,0.015594333,0.338740952,1.036475447,1.085940972
1,0.767620149,0.917234724,0.338680248,1.201697734,0.994115427
1,0.646167478,1.620821888,0.338619545,1.281454064,0.872720779
1,0.531150554,2.200117246,0.338558842,1.301616179,0.76
1,0.438333066,2.549553751,0.338498138,1.299296644,0.693604951
1,0.348055036,2.631362719,0.338437435,1.194382276,0.7
1,0.457444661,2.440969609,0.338376731,1.226677345,0.786779807
1,0.574730258,1.991796444,0.338316028,1.259507692,0.94
1,0.721190654,1.34591521,0.338255325,1.247910015,1.127279221
1,0.873638933,0.637181013,0.338194621,1.256117601,1.305884573
1,1.040341823,0,0.338133918,1.370488536,1.43367427
1,1.207044712,0,0.338073215,1.429547475,1.48
1,1.081861689,0,0.338012511,1.427406365,1.43367427
1,0.956678666,0,0.337951808,1.397609257,1.305884573
1,0.832715584,0,0.337891105,1.342832538,1.127279221
1,0.720642932,0,0.337830401,1.251656956,0.94
1,0.610660704,0,0.337769698,1.093571702,0.786779807
1,0.512781325,0,0.337708995,0.973847993,0.7
1,0.622859063,0,0.337648291,0.896768049,0.693604951
1,0.745039649,0,0.337587588,0.857335948,0.76
1,0.873148574,0,0.337526885,0.84324031,0.872720779
1,1.012215908,0,0.337466181,0.840920775,0.994115427
1,1.151283242,0,0.337405478,0.860904464,1.085940972
1,1.294283613,0,0.337344775,0.919963402,1.12
1,1.179790316,0.013396686,0.337284071,1.073409587,1.085940972
1,1.069230055,1.755871051,0.337223368,1.236490764,0.994115427
1,0.958669794,2.896487574,0.337162664,1.30286516,0.872720779
1,0.848736121,3.805277628,0.337101961,1.313392282,0.76
