const,csp,csp2
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
1,0.5,0.434314575
1,0.333333333,0.6
1,0.166666667,0.792944764
1,0,1
1,0.166666667,1.207055236
1,0.333333333,1.4
1,0.5,1.565685425
1,0.666666667,1.692820323
1,0.833333333,1.772740661
1,1,1.8
1,1.166666667,1.772740661
1,1.333333333,1.692820323
1,1.5,1.565685425
1,1.666666667,1.4
1,1.833333333,1.207055236
1,2,1
1,1.833333333,0.792944764
1,1.666666667,0.6
1,1.5,0.434314575
1,1.333333333,0.307179677
1,1.166666667,0.227259339
1,1,0.2
1,0.833333333,0.227259339
1,0.666666667,0.307179677
