demand_GB,prices_GB,demand_DE,prices_DE,demand_NO,prices_NO_south,wind_300,wind1200,windGB,windDE,windNO,solarDE,wind0.3,wind1.2,const
29644,37.74340321,38406,32.19,15284,30,213.942539,919.736733,774.264528,4196.484786,124.212597,0.00E+00,0.713141797,0.766447278,1
30407,37.69236128,36501,18.5,15058,29.05,215.879032,926.016488,901.02063,4506.365476,141.96822,0.00E+00,0.719596773,0.771680407,1
29319,36.24045006,35305,12.61,14838,28.55,217.815524,932.296243,1027.776732,4840.4954,162.935766,0.00E+00,0.726051747,0.776913536,1
27267,31.48307645,34568,10.88,14620,27.74,219.752016,938.575998,1195.14425,5212.352229,189.569202,0.00E+00,0.73250672,0.782146665,1
25176,30.16310111,33501,4.36,14571,27.66,221.688508,944.855753,1385.278403,5584.209058,216.202637,0.00E+00,0.738961693,0.787379794,1
23460,29.03832306,31650,2.94,14634,27.43,223.625001,951.135508,1575.412556,5956.065886,242.836072,0.00E+00,0.74541667,0.792612923,1
22844,33.41535142,32109,1.47,14771,26.55,225.561493,957.415263,1765.546709,6327.922715,269.469508,0.00E+00,0.751871643,0.797846053,1
23243,33.83818742,32981,0.43,14916,24.4,228.447743,969.676597,1754.757275,6692.847855,236.321451,1.98E+02,0.761492477,0.808063831,1
23381,31.31270037,35063,1.01,15242,24.4,230.521157,981.937931,1743.967841,7180.311638,203.173394,1.29E+03,0.768403857,0.818281609,1
24186,39.40112207,37709,14.87,15582,26.79,232.594571,994.199265,1733.178407,7667.775421,170.025337,3.02E+03,0.775315237,0.828499388,1
26622,40.22437731,40771,13.48,16007,29.05,234.667985,1006.460599,1722.388973,8155.239204,142.35152,4.17E+03,0.782226617,0.838717166,1
29970,49.04576449,41374,15.24,16175,29.3,236.741399,1014.701208,1711.599539,8642.702987,120.252815,4.42E+03,0.789137997,0.84558434,1
32594,58.73612824,40913,14.16,16231,29.06,238.814813,1022.364542,1700.810105,9130.166769,100.045092,3.69E+03,0.796049377,0.851970452,1
34554,53.84093711,40577,14.04,16289,29.21,222.205225,961.01979,1829.061622,9112.582239,95.605644,2.20E+03,0.740684083,0.800849825,1
35179,52.02836005,40865,17.9,16512,29.94,200.18823,880.58447,1957.313139,9094.997708,91.166195,7.00E+02,0.6672941,0.733820392,1
35436,58.27373613,43536,18.42,16900,31.05,179.323632,775.639255,2095.817395,9077.413178,86.726747,0.00E+00,0.59774544,0.646366046,1
36061,61.55363748,47675,34.94,16867,33,159.141387,678.802869,2238.319081,9059.828647,82.287298,0.00E+00,0.53047129,0.565669058,1
38273,76.47965475,48918,39.41,16796,33.78,135.315349,572.894559,2380.820766,9042.244116,77.84785,0.00E+00,0.451051163,0.477412133,1
39300,67.99630086,47909,38.79,16539,33.04,112.776896,462.403308,2521.429206,9024.659586,73.408401,0.00E+00,0.375922987,0.38533609,1
38248,48.64667694,45597,29.61,16230,30.92,118.173097,492.751592,2511.709025,10307.5763,79.680273,0.00E+00,0.393910323,0.410626327,1
36225,40.22784217,44366,21.63,15935,29.38,124.21826,526.299275,2501.722049,11590.49302,85.952144,0.00E+00,0.414060867,0.438582729,1
34788,39.99972256,43556,11.91,15549,29.05,130.595588,559.846958,2490.921848,12947.45527,92.224015,0.00E+00,0.435318627,0.466539132,1
32741,39.28048705,39163,7.85,15197,28.75,136.972915,593.394641,2480.121647,14372.91829,98.495887,0.00E+00,0.456576383,0.494495534,1
30831,36.89115906,35115,-19.1,14593,29.46,143.350243,626.942324,2469.321446,15752.24318,104.767758,0.00E+00,0.477834143,0.522451937,1
28545,37.43416769,32570,-63.15,14306,28.64,149.727571,656.722313,2458.521245,17035.1599,111.347555,0.00E+00,0.499091903,0.547268594,1
28554,37.997164,31784,-87.47,14114,27.72,162.840943,708.511802,2148.470667,15303.24372,90.29178,0.00E+00,0.542803143,0.590426502,1
27658,37.07562885,32147,-23.16,14159,27.79,174.527788,760.30129,1853.907081,13382.6431,70.235145,0.00E+00,0.581759293,0.633584408,1
26595,36.67636868,33971,-9.42,14339,28.87,186.214633,816.099031,1574.861561,11536.53824,53.636865,0.00E+00,0.620715443,0.680082526,1
25306,34.98644266,38118,-1.78,14860,30.15,198.437976,872.596655,1295.816041,9807.997687,38.728939,0.00E+00,0.66145992,0.727163879,1
24195,33.76454994,44584,0.61,16159,31.98,211.187261,923.396186,1035.617014,8079.457135,26.28023,0.00E+00,0.703957537,0.769496822,1
24242,38.15837238,51823,16.17,17668,34.27,223.936546,961.061268,849.586667,6424.944388,19.210507,0.00E+00,0.746455153,0.80088439,1
25932,35.39921085,56247,39.2,18270,35.74,229.474267,980.422902,818.235882,6052.253665,24.304979,1.98E+02,0.764914223,0.817019085,1
27203,36.44252774,58559,43.38,18465,35.83,233.657504,999.784535,786.885097,5679.562943,34.778438,1.20E+03,0.778858347,0.833153779,1
29019,38.21881011,61059,49.26,18494,35.8,237.84074,1014.966355,757.386927,5306.87222,45.735862,2.83E+03,0.792802467,0.845805296,1
32245,39.93027744,62753,54.25,18710,35.69,242.023977,1027.067376,731.261273,4934.181497,59.700474,3.92E+03,0.80674659,0.85588948,1
34684,41.02807028,63183,57.92,18701,35.54,246.207213,1039.168397,705.135619,4583.742312,73.831356,4.16E+03,0.82069071,0.865973664,1
35910,40.87561652,62463,58.23,18618,35.46,250.39045,1051.269418,679.009964,4273.16671,91.287121,3.47E+03,0.834634833,0.876057848,1
